objectid,event_type,hood_158
3593,Suicide-related,124
3597,Suicide-related,3
3599,Suicide-related,6
3604,Suicide-related,105
3607,Suicide-related,78
3608,Suicide-related,39
3618,Suicide-related,85
3619,Suicide-related,170
3621,Suicide-related,118
3627,Suicide-related,170
3628,Suicide-related,9
3636,Suicide-related,156
3642,Suicide-related,78
3643,Suicide-related,115
3645,Suicide-related,54
3648,Suicide-related,87
3653,Suicide-related,130
3654,Suicide-related,78
3656,Suicide-related,107
3672,Suicide-related,170
3673,Suicide-related,149
3674,Suicide-related,25
3676,Suicide-related,53
3677,Suicide-related,85
3680,Suicide-related,87
3686,Suicide-related,166
3691,Suicide-related,161
3692,Suicide-related,146
3695,Suicide-related,130
3703,Suicide-related,25
3706,Suicide-related,141
3707,Suicide-related,84
3709,Suicide-related,18
3712,Suicide-related,73
3713,Suicide-related,73
3715,Suicide-related,170
3717,Suicide-related,78
3721,Suicide-related,46
3722,Suicide-related,61
3724,Suicide-related,42
3737,Suicide-related,119
3739,Suicide-related,34
3744,Suicide-related,163
3746,Suicide-related,8
3747,Suicide-related,99
3749,Suicide-related,73
3752,Suicide-related,170
3754,Suicide-related,99
3758,Suicide-related,3
3759,Suicide-related,83
3761,Suicide-related,63
3764,Suicide-related,99
3767,Suicide-related,59
3774,Suicide-related,78
3775,Suicide-related,21
3776,Suicide-related,70
3777,Suicide-related,65
